"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXLUZ" "continuous" 2000 TRUE "0.00426704591270234" "0.00237024155145857" "0.169636127080168" "None" "None" 0.169636127080168 "logLBXB12" "WTMEC4YR" 1 0.502157365766995
"URXP11" "continuous" 966 TRUE "0.000844555264587602" "0.00058751562899844" "0.169844861545757" "None" "None" 0.169844861545757 "logLBXB12" "WTMEC4YR" 1 0.502157365766995
"LBXVIA" "continuous" 3712 TRUE "0.00166228814826008" "0.00116325383531795" "0.172237550577085" "None" "None" 0.172237550577085 "logLBXB12" "WTMEC4YR" 1 0.502157365766995
"DR1TVC" "continuous" 3703 TRUE "-0.000166181220990352" "0.000117326710657756" "0.175833830581441" "None" "None" 0.175833830581441 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.505522262921643
"DR1TTFAT" "continuous" 3703 TRUE "-0.000346260376268455" "0.00025452036238686" "0.192548896780297" "None" "None" 0.192548896780297 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.545994816897553
"DR1TS100" "continuous" 3703 TRUE "0.0315089586253792" "0.0235398479903324" "0.199432169136022" "None" "None" 0.199432169136022 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.557871067718331
"URXOP5" "continuous" 1264 TRUE "9.91079893858234e-05" "7.59975765850579e-05" "0.21065155114777" "None" "None" 0.21065155114777 "logLBXB12" "WTSPP4YR" 1 0.571503673953736
"DR1TS080" "continuous" 3703 TRUE "0.0480795304226541" "0.0369913229843182" "0.21210094981911" "None" "None" 0.21210094981911 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.571503673953736
"LBDDWS" "continuous" 484 TRUE "3.97464414075853e-05" "3.06160160125079e-05" "0.213817275263108" "None" "None" 0.213817275263108 "logLBXB12" "WTMEC4YR" 1 0.571503673953736
"URXOP6" "continuous" 1265 TRUE "-0.0413590225053725" "0.0321506402262966" "0.216602143251887" "None" "None" 0.216602143251887 "logLBXB12" "WTSPP4YR" 1 0.571503673953736
"URXP21" "continuous" 552 TRUE "-0.00166985523637228" "0.00107484594267104" "0.218110097789107" "None" "None" 0.218110097789107 "logLBXB12" "WTMEC4YR" 1 0.571503673953736
"LBXRST" "continuous" 2889 TRUE "0.0439800354218784" "0.0346230888698843" "0.222156926430664" "None" "None" 0.222156926430664 "logLBXB12" "WTMEC4YR" 1 0.574831047139342
"URXUCO" "continuous" 983 TRUE "-0.0346736100794098" "0.0277033162044205" "0.228703822817646" "None" "None" 0.228703822817646 "logLBXB12" "WTSHM4YR" 1 0.582538335113492
"DR1TS160" "continuous" 3703 TRUE "-0.00168812562717505" "0.00135502772459637" "0.2307639781609" "None" "None" 0.2307639781609 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.582538335113492
"DR1TFF" "continuous" 2017 TRUE "0.000183826250750816" "0.000124513773315089" "0.236337354588395" "None" "None" 0.236337354588395 "logLBXB12" "WTDR4YR" 1 0.589419667467442
"URXMIB" "continuous" 560 TRUE "-0.00183454130193814" "0.00128955633611713" "0.250002875025008" "None" "None" 0.250002875025008 "logLBXB12" "WTSPH4YR" 1 0.613109624388758
"DR1TP226" "continuous" 3703 TRUE "0.0893903486705742" "0.0754182945342539" "0.253220414674721" "None" "None" 0.253220414674721 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.613109624388758
"SMD430" "continuous" 820 TRUE "0.00194469305711117" "0.00164614641242504" "0.25472187293446" "None" "None" 0.25472187293446 "logLBXB12" "WTMEC4YR" 1 0.613109624388758
"URXP05" "continuous" 996 TRUE "-5.6732289925628e-06" "4.83507630335713e-06" "0.25782798591348" "None" "None" 0.25782798591348 "logLBXB12" "WTSPH4YR" 1 0.613452794070005
"LBXPDE" "continuous" 489 TRUE "0.0039719761691915" "0.00343094971950982" "0.26398100034064" "None" "None" 0.26398100034064 "logLBXB12" "WTSPO4YR" 1 0.62095530761946
"DR1TIRON" "continuous" 3703 TRUE "0.00123389690091387" "0.00110355879030744" "0.280028710142527" "None" "None" 0.280028710142527 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.647113838734164
"DR1TP182" "continuous" 3703 TRUE "-0.00120313536098752" "0.00107912732977392" "0.281353842927898" "None" "None" 0.281353842927898 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.647113838734164
"DR1TP204" "continuous" 3703 TRUE "-0.132793678095176" "0.120292928814925" "0.285954407955736" "None" "None" 0.285954407955736 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.650467719196015
"DR1TATOC" "continuous" 2017 TRUE "-0.00311960805892404" "0.00244104327086213" "0.291171572311697" "None" "None" 0.291171572311697 "logLBXB12" "WTDR4YR" 1 0.65408850609779
"DR1TPFAT" "continuous" 3703 TRUE "-0.00107182298584677" "0.000987571118823473" "0.293865850565674" "None" "None" 0.293865850565674 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.65408850609779
"URXOP1" "continuous" 1265 TRUE "-0.00119964547962874" "0.00113232922271508" "0.305127776979411" "None" "None" 0.305127776979411 "logLBXB12" "WTSPP4YR" 1 0.654420596026352
"DR1TKCAL" "continuous" 3703 TRUE "-1.28991463730029e-05" "1.21853857614065e-05" "0.305513876325773" "None" "None" 0.305513876325773 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.654420596026352
"home_painted_12mos" "categorical" 630 TRUE "None" "None" "None" "0.305627311112356" "None" 0.305627311112356 "logLBXB12" "WTMEC4YR" 1 0.654420596026352
"use_water_treatment" "categorical" 3734 TRUE "None" "None" "None" "0.306660859007517" "None" 0.306660859007517 "logLBXB12" "WTMEC4YR" 1 0.654420596026352
"LBXD05" "continuous" 213 TRUE "0.00074939529572346" "0.000576135450498118" "0.323041806669384" "None" "None" 0.323041806669384 "logLBXB12" "WTSPO4YR" 1 0.654873368983651
"URXP08" "continuous" 978 TRUE "-0.000107094535882438" "0.000105365593431552" "0.324558931277704" "None" "None" 0.324558931277704 "logLBXB12" "WTSPH4YR" 1 0.654873368983651
"LBXD03" "continuous" 214 TRUE "0.00139643059058216" "0.00108145899625793" "0.325728231548212" "None" "None" 0.325728231548212 "logLBXB12" "WTSPO4YR" 1 0.654873368983651
"LBXTNA" "continuous" 483 TRUE "-0.493759427740029" "0.492262699768243" "0.330770532341751" "None" "None" 0.330770532341751 "logLBXB12" "WTSPO4YR" 1 0.654873368983651
"LBXCOT" "continuous" 3637 TRUE "-0.000474519431376343" "0.000473961015883546" "0.331642498291241" "None" "None" 0.331642498291241 "logLBXB12" "WTMEC4YR" 1 0.654873368983651
"URXETD" "continuous" 1045 TRUE "0.000127006636365923" "0.000128687667056789" "0.338364201716399" "None" "None" 0.338364201716399 "logLBXB12" "WTSPH4YR" 1 0.654873368983651
"URXMCP" "continuous" 1043 TRUE "-0.000837736935006345" "0.000851602612783916" "0.339896746414038" "None" "None" 0.339896746414038 "logLBXB12" "WTSPH4YR" 1 0.654873368983651
"LBXDFS" "continuous" 580 TRUE "-0.0161064606960925" "0.0163776715052836" "0.340029294230872" "None" "None" 0.340029294230872 "logLBXB12" "WTMEC4YR" 1 0.654873368983651
"DR1TCARB" "continuous" 3703 TRUE "-8.78903074600591e-05" "8.94056014044489e-05" "0.340214753681268" "None" "None" 0.340214753681268 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.654873368983651
"URXUUR" "continuous" 524 TRUE "1.08417175581092" "0.962037695322986" "0.341763012174669" "None" "None" 0.341763012174669 "logLBXB12" "WTMEC4YR" 1 0.654873368983651
"DR1TPROT" "continuous" 3703 TRUE "0.000316520441743344" "0.00032549263276269" "0.345307028612264" "None" "None" 0.345307028612264 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.654873368983651
"LBXLYC" "continuous" 1996 TRUE "-0.00110603990116689" "0.00101501791860717" "0.355557997844671" "None" "None" 0.355557997844671 "logLBXB12" "WTMEC4YR" 1 0.654873368983651
"LBX170" "continuous" 480 TRUE "1.11521746938843" "1.18453811854787" "0.360458281968984" "None" "None" 0.360458281968984 "logLBXB12" "WTSPO4YR" 1 0.654873368983651
"URXETL" "continuous" 1046 TRUE "1.5699864172718e-05" "1.66771475876258e-05" "0.360497478000248" "None" "None" 0.360497478000248 "logLBXB12" "WTSPH4YR" 1 0.654873368983651
"LBXTO1" "continuous" 3057 TRUE "-0.000177348272348789" "0.000189862927170968" "0.36414340062656" "None" "None" 0.36414340062656 "logLBXB12" "WTMEC4YR" 1 0.654873368983651
"DR1TMAGN" "continuous" 3703 TRUE "8.22148107603578e-05" "8.82193189546379e-05" "0.365219561928204" "None" "None" 0.365219561928204 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.654873368983651
