ID,SDMVPSU,SDMVSTRA,WTMEC8YR,WTDR8YR,WTSVOC8Y,WTSHM8YR,WTSPO8YR,WTSAU8YR,WTSAF8YR,WTSCI8YR,WTSPH8YR
270,270,1,25914.13087,11136.6952,NA,NA,NA,70486.43598,23481.7473,51809.0186,NA
271,271,2,26641.24998,19833.66374,NA,85251.99993,NA,NA,NA,NA,NA
272,272,1,53533.07417,53101.39523,3,NA,147215.954,NA,49591.90856,159131.9659,NA
273,273,2,21449.88023,25920.85473,3.69,NA,NA,64349.64069,NA,NA,NA
274,274,2,25156.60148,29413.28524,2.75,89054.36925,NA,NA,NA,NA,NA
275,275,2,17489.47401,22471.97734,3.375,52293.5273,NA,NA,NA,NA,NA
276,276,2,1229.577849,803.6362749,NA,NA,5311.776306,NA,NA,3571.354486,NA
277,277,2,1261.860457,2806.936158,NA,3848.674395,NA,NA,NA,NA,NA
278,278,1,3353.248269,4604.624644,NA,NA,NA,11333.97915,NA,8763.310601,NA
279,279,2,2818.794751,1340.831817,NA,8597.323992,NA,NA,NA,NA,NA
280,280,2,0,NA,NA,NA,NA,NA,NA,NA,NA
281,281,1,1676.109896,699.2620968,NA,NA,NA,6017.234527,NA,3867.165359,NA
282,282,1,56525.78197,77216.74524,NA,197840.2369,NA,NA,NA,164637.7998,57349.02431
283,283,2,1186.749589,697.8061825,NA,NA,3595.851256,NA,NA,2871.959929,NA
284,284,1,0,NA,NA,NA,NA,NA,NA,NA,NA
285,285,1,3113.692863,4764.017428,NA,10773.3773,NA,NA,NA,NA,NA
286,286,2,4913.69705,3431.893492,NA,NA,NA,NA,NA,NA,NA
287,287,2,35447.42448,45525.38378,2.905,127256.2539,NA,NA,NA,NA,NA
288,288,1,3334.107475,5277.060416,NA,NA,NA,NA,NA,NA,NA
289,289,2,30065.11233,35152.35257,3.5,NA,NA,NA,NA,64307.31058,NA
290,290,2,0,NA,NA,NA,NA,NA,NA,NA,NA
291,291,2,3528.731725,3651.479883,NA,NA,12491.71031,NA,NA,NA,NA
292,292,2,28898.0165,27060.7549,NA,NA,NA,NA,NA,76304.70376,NA
293,293,1,11706.80635,15035.13611,8.36,NA,NA,NA,NA,27853.79321,NA
294,294,1,1377.955593,900.6140609,NA,4202.764558,NA,NA,NA,3179.949994,NA
295,295,1,1279.225623,1987.515965,NA,NA,NA,4067.93748,NA,NA,NA
296,296,1,46098.2027,59217.3932,2.235,NA,126770.0574,NA,43759.9961,NA,NA
297,297,1,22700.31784,49805.27117,NA,83764.17284,NA,NA,NA,NA,NA
298,298,2,2182.925295,NA,NA,NA,NA,NA,NA,NA,NA
299,299,2,6533.616196,7181.321144,NA,NA,12544.5431,17314.08292,NA,NA,NA
300,300,1,58763.60474,41015.98103,NA,NA,188043.5352,NA,NA,149126.2561,51477.05541
301,301,2,7924.581452,5386.163155,NA,NA,26943.57694,NA,NA,23880.01001,9664.658436
302,302,1,1813.208902,1886.089645,10.8,NA,NA,NA,NA,6009.386872,NA
303,303,2,2810.974643,1652.846988,NA,NA,7617.741282,NA,NA,NA,NA
304,304,2,0,NA,NA,NA,NA,NA,NA,NA,NA
305,305,2,4917.772825,6631.372484,NA,NA,NA,NA,NA,NA,NA
306,306,1,1273.614776,832.4182446,NA,NA,NA,4050.094988,NA,NA,NA
307,307,1,4519.169895,5802.434155,NA,NA,19387.23885,NA,4687.988827,NA,NA
308,308,1,0,NA,NA,NA,NA,NA,NA,NA,NA
309,309,3,8179.947436,11694.35204,NA,NA,NA,NA,NA,NA,NA
310,310,1,0,NA,NA,NA,NA,NA,NA,NA,NA
311,311,1,3582.901781,2565.180853,NA,NA,0,13830.00088,NA,NA,NA
312,312,2,17200.79612,10063.92976,NA,NA,NA,51946.4043,NA,NA,NA
313,313,2,2779.182802,1917.289622,NA,NA,NA,NA,NA,7263.059624,NA
314,314,2,14294.91521,17679.06449,2.765,42884.74563,NA,NA,NA,NA,NA
