GLYCINE_mg	supplement use
GLYCINE_gm	supplement use
HISTIDINE_mg	supplement use
IRON_mg	supplement use
ISOLEUCINE_mg	supplement use
LEUCINE_mg	supplement use
LYSINE_mg	supplement use
MAGNESIUM_mg	supplement use
MAGNESIUM_PPM	supplement use
METHIONINE_mg	supplement use
PHENYLALANINE_mg	supplement use
PHOSPHORUS_mg	supplement use
POTASSIUM_mg	supplement use
PROLINE_mg	supplement use
PROTEIN_gm	supplement use
RIBOFLAVIN_mg	supplement use
SELENIUM_mcg	supplement use
SERINE_mg	supplement use
SODIUM_mg	supplement use
THIAMIN_mg	supplement use
THREONINE_mg	supplement use
ALPHA_TOCOPHEROL_NA	supplement use
TOTAL_CARBOHYDRATE_gm	supplement use
TRYPTOPHAN_mg	supplement use
TYROSINE_mg	supplement use
VALINE_mg	supplement use
VITAMIN_B_6_Unknown	supplement use
VITAMIN_B_12_Unknown	supplement use
VITAMIN_C_Unknown	supplement use
VITAMIN_A_mg	supplement use
VITAMIN_A_Unknown	supplement use
VITAMIN_A_mcg	supplement use
FOLIC_ACID_Unknown	supplement use
OMEGA_3_FATTY_ACIDS_Unknown	supplement use
OTHER_FATTY_ACIDS_mg	supplement use
ARGININE_gm	supplement use
BETA_CAROTENE_Unknown	supplement use
CALCIUM_Trace	supplement use
CALCIUM_Unknown	supplement use
COPPER_Trace	supplement use
COPPER_Unknown	supplement use
IRON_Trace	supplement use
IRON_Unknown	supplement use
MAGNESIUM_Unknown	supplement use
PHOSPHORUS_Trace	supplement use
PHOSPHORUS_Unknown	supplement use
RIBOFLAVIN_Unknown	supplement use
SELENIUM_Trace	supplement use
SELENIUM_Unknown	supplement use
THIAMIN_Unknown	supplement use
ALPHA_TOCOPHEROL_IU	supplement use
OMEGA_6_FATTY_ACIDS_mg	supplement use
OMEGA_9_FATTY_ACIDS_mg	supplement use
BETA_CAROTENE__	supplement use
SODIUM_Trace	supplement use
ALPHA_TOCOPHEROL_mg	supplement use
DIETARY_FIBER_mg	supplement use
URXBSM	pesticides
URXCHS	pesticides
URXEMM	pesticides
URXFRM	pesticides
URXHLS	pesticides
URXMSM	pesticides
URXMTM	pesticides
URXNOS	pesticides
URXOXS	pesticides
URXPIM	pesticides
URXPRO	pesticides
URXRIM	pesticides
URXSMM	pesticides
URXSSF	pesticides
URXTHF	pesticides
URXTRA	pesticides
URXTRN	pesticides
cigarette_smoking	smoking behavior
URXCNP	phthalates
URXCOP	phthalates
URXNO3	perchlorate
URXSCN	perchlorate
LBXV2E	volatile compounds
LBXV4E	volatile compounds
LBXVTE	volatile compounds
any_diabetes	disease
any_ht	disease
cad	disease
bladder_cancer_self_report	disease
blood_cancer_self_report	disease
bone_cancer_self_report	disease
brain_cancer_self_report	disease
breast_cancer_self_report	disease
cervix_cacner_self_report	disease
colon_cancer_self_report	disease
esophagus_cancer_self_report	disease
gallbladder_cancer_self_report	disease
kidney_cancer_self_report	disease
larynx_cancer_self_report	disease
leukemia_self_report	disease
liver_cancer_self_report	disease
lung_cancer_self_report	disease
lymphoma_self_report	disease
melanoma_self_report	disease
mouth_cancer_self_report	disease
nervous_cancer_self_report	disease
ovarian_cancer_self_report	disease
